r0,r1,target
0.42512077,0.31394732,향기
-0.7774316,0.68350285,색상
0.19889869,-0.31197393,감촉
-0.9740241,-0.27648252,감촉
0.5417088,-0.31793302,디자인
0.8807084,-0.6566151,향기
-0.24878593,-0.8001439,감촉
1.1425546,-0.063079946,향기
0.20662859,0.9346297,가격
-0.1758349,1.3380429,디자인
-0.5773856,-0.4705517,향기
0.1786733,0.05966914,향기
-0.37290034,-0.42809084,향기
0.19870517,0.24766825,용량
0.12664203,0.46200305,가격
0.2756165,0.01968105,용량
0.8517089,-0.02726359,향기
0.8335682,0.2791782,가격
0.5711428,-0.92980766,감촉
-0.27777082,0.15107988,색상
0.012807456,-0.048367646,향기
-0.3497308,1.3670144,용량
0.30566517,0.017162973,향기
-0.31861487,-1.0840433,감촉
0.7739379,-0.45249423,용량
-0.7025144,-0.014603015,색상
1.4800928,0.5437673,가격
0.7887526,0.20170748,향기
-0.570981,-0.29196334,색상
-0.09223042,0.2630807,가격
-0.16749261,0.60662425,색상
-0.8185683,0.54020053,디자인
-0.6812571,-0.08364014,디자인
0.24140967,0.052043263,용량
1.0383247,-0.7292413,감촉
0.6067863,-0.61762476,용량
-0.5719474,0.047390517,색상
-0.055036146,0.5746574,가격
0.3772125,0.4336328,용량
0.12857977,0.49178627,가격
-0.5920503,0.28056,색상
0.7697775,-0.07001255,향기
-0.7441676,-0.0026759368,디자인
-1.2499238,-0.07444368,디자인
-0.31591082,0.23884292,디자인
0.01712143,-0.3868866,감촉
0.73031235,-0.029475378,가격
0.41588315,0.22463582,용량
0.0499013,0.19494088,용량
0.57798517,-0.44406253,향기
0.15767002,0.40182814,가격
-0.48339772,0.52528703,색상
0.12981151,0.32949015,가격
0.020101406,-0.05820968,용량
1.6049308,-0.28000116,향기
0.45322964,-0.4080349,용량
0.32129273,0.063518345,디자인
-0.9775101,-0.385101,색상
0.32341164,-0.03505481,향기
1.0733626,0.17774515,용량
-0.76181334,-0.041909114,색상
0.11823428,-0.18556465,향기
0.45055804,-0.32435122,감촉
0.5813325,-0.24900126,향기
0.33109188,0.20722672,향기
0.03323584,0.2735658,가격
-0.042993728,-0.4206832,색상
0.13466471,1.1713723,가격
1.1985956,0.5697559,감촉
0.7557069,-0.7294587,용량
0.61044055,-0.5948231,향기
0.12804566,-0.21258047,향기
0.7860618,-0.7231406,향기
-0.6481548,-0.13752839,향기
-0.36057153,0.0925248,디자인
-0.35678694,0.5365702,디자인
-1.4202819,-0.15574452,디자인
0.054842222,-0.10358931,향기
1.0013821,-0.81066644,감촉
0.48410246,-0.5142685,감촉
-0.8226799,-1.3922508,색상
-0.67512995,-0.075165264,색상
-0.5460885,-0.11066188,색상
0.911418,-1.171155,감촉
-0.14822389,0.54807025,디자인
-0.8969356,0.9556166,색상
1.1955043,-0.18699707,감촉
-0.22328304,1.1471936,디자인
0.35334644,0.23994255,용량
0.39125085,0.29491153,가격
-0.34375662,-0.4990317,향기
-0.2869663,0.2444427,용량
0.2928156,0.17487946,향기
-0.02778751,0.13040291,가격
0.27385017,-0.15585229,향기
-0.43600404,-0.031131279,디자인
-0.34617737,0.03498485,디자인
-0.56626254,0.1917079,색상
-0.34029934,0.5962387,디자인
-0.8413247,-0.25222754,색상
-0.4298102,0.355245,디자인
0.69962233,-0.954591,용량
