r0,r1,target
24.924063,-40.310925,감촉
-24.00136,6.0518017,가격
-37.885345,24.655207,디자인
30.563194,38.494404,디자인
5.722494,-31.766737,용량
6.302146,6.1946454,색상
-3.778684,54.511208,색상
-35.67747,-20.374163,용량
-24.827883,-42.219334,용량
-2.0746415,-42.878494,향기
13.917393,-36.978733,감촉
-29.95861,-44.393574,용량
48.04871,27.511538,색상
69.06376,-5.2232437,색상
7.12831,35.64384,색상
-11.662637,29.95264,색상
-13.569036,4.66911,가격
26.123562,22.608624,디자인
-21.600924,50.480118,디자인
9.855065,3.736368,감촉
-12.913223,41.15282,디자인
-10.409277,-47.57114,용량
-1.8985033,44.27814,디자인
-43.21455,-8.677677,가격
35.84558,26.973598,디자인
-24.674454,-34.33958,용량
8.498805,-28.302898,감촉
36.416985,-0.5236075,향기
-17.189833,-35.204792,용량
-17.221254,26.838854,디자인
27.177303,-14.490921,향기
10.240752,-0.36659122,용량
-41.785675,9.061379,가격
7.245679,52.479958,색상
-27.696959,18.513147,가격
-35.528816,-27.114843,용량
5.6596,-7.9065824,감촉
46.74333,-12.215111,향기
-23.264484,-6.7895346,가격
39.65705,12.983672,가격
-18.608704,-1.3931477,가격
-6.810115,47.55344,디자인
-9.560145,36.00896,색상
2.5115695,-1.310944,감촉
37.40745,-14.774457,향기
14.698769,-33.60039,감촉
18.703863,18.271702,향기
5.2844973,13.886341,가격
37.8133,23.73028,색상
10.008625,-14.9989,디자인
-12.753754,-6.1165433,감촉
-14.856597,40.299282,디자인
-46.443092,-7.799243,가격
0.5973895,33.70246,색상
24.295397,-15.507368,향기
8.698937,53.95307,디자인
11.154666,-19.99802,감촉
-21.950262,34.03569,디자인
64.79893,1.2339469,감촉
-15.314915,-26.244886,용량
-16.40456,-42.664703,용량
-28.473139,-47.02121,용량
35.63661,-30.173336,향기
36.497,-23.072924,향기
-41.50848,25.987762,디자인
-12.303482,3.9163,가격
-49.62038,7.6238565,가격
-35.765278,34.573265,디자인
61.522903,1.8557296,향기
6.856919,19.112133,색상
24.240602,-27.609606,감촉
-28.558752,-23.17291,용량
40.758083,12.905075,가격
-21.19231,-20.723421,가격
2.0914161,-22.066286,가격
-0.72034127,18.083464,용량
-52.29279,6.33421,가격
11.796175,-34.647305,향기
22.695286,-18.106781,향기
45.16651,11.618509,가격
39.208847,1.5436796,향기
-14.041323,-18.822855,향기
6.194506,50.80653,색상
-29.76243,-19.381208,용량
10.117948,22.126863,색상
13.97179,-46.67466,향기
-5.106028,-1.5623317,디자인
13.366487,-0.058768693,디자인
-6.1813393,15.397624,디자인
-13.816891,-17.666483,가격
4.347721,53.920128,디자인
32.062763,-24.332052,향기
-20.13179,-28.390068,용량
-34.60414,32.200565,디자인
3.8267658,41.123825,디자인
67.96049,1.7891426,디자인
-39.640957,2.7650304,가격
8.102658,-47.81509,향기
25.96189,-25.516327,가격
24.85517,-41.61359,향기
-3.289777,-13.9154415,가격
-40.084423,-21.156948,가격
-32.331635,-44.237404,용량
-24.375307,-6.975573,가격
25.855259,-1.870647,감촉
37.924366,-25.29825,향기
30.40354,16.717148,색상
37.343185,8.410585,감촉
-59.041096,-10.714079,색상
33.453945,41.96476,디자인
-9.1623535,-9.472141,감촉
45.093018,26.398546,색상
-20.93463,-56.180035,용량
3.7644107,16.70861,가격
0.4156857,-15.430408,디자인
-39.418465,-7.00927,가격
-9.602112,-66.43435,용량
-3.40531,-28.311794,감촉
-10.489483,-61.334373,용량
13.405983,42.860073,색상
11.662788,-24.960476,감촉
-43.006275,3.7715378,가격
4.2997317,-28.185007,감촉
-47.11244,1.2061903,가격
-7.690687,-46.69794,용량
-15.471134,7.7693133,가격
-3.3082237,3.0843458,향기
-43.4524,-8.16669,용량
31.90768,-13.386733,향기
42.803913,41.001804,디자인
-19.370739,-57.19602,용량
37.099564,-23.001675,향기
-12.372002,-42.382736,용량
-26.648552,-24.441706,용량
3.7577374,-45.0993,용량
23.700752,-41.463337,향기
33.20373,-43.07948,향기
-1.4610626,32.173485,디자인
19.697186,49.767746,향기
-4.3227577,47.760315,색상
-26.250238,-21.724329,용량
-14.104979,10.474004,가격
-29.719275,43.12754,디자인
-12.427015,27.966036,색상
-22.780607,-24.756422,용량
-36.137638,-0.35210514,가격
51.517094,10.786095,가격
29.339823,12.733385,향기
29.977217,-15.933173,향기
40.416115,5.0684757,향기
-60.405872,-12.547454,가격
-52.988476,13.944665,디자인
-41.28955,-2.7061863,가격
-20.544111,-12.469156,가격
11.27834,7.0031796,감촉
13.991491,-12.256604,감촉
45.367214,35.15485,디자인
-0.6319129,35.909058,색상
-37.365963,32.167717,디자인
10.369324,14.291101,색상
0.3976793,-1.287121,색상
36.055927,13.775389,가격
5.291229,-4.966298,향기
3.6305387,-21.515778,감촉
-30.844776,-33.689472,용량
46.845245,-18.940279,향기
-26.249403,22.408148,디자인
39.70511,-33.879585,향기
13.857498,-24.904747,감촉
-15.118197,-42.504105,향기
8.795207,-25.572212,가격
7.592056,46.62422,색상
16.027407,7.147064,감촉
-12.121861,-45.160484,용량
22.855812,-17.594791,향기
-0.30161303,-41.043564,용량
42.34405,-20.804148,향기
-13.605345,31.48538,색상
29.46133,-26.051096,향기
-8.825833,-43.266285,용량
-14.343755,-55.724792,용량
-60.83424,-16.521538,감촉
2.1707213,-31.665577,가격
69.715454,-6.954995,감촉
-13.696766,-46.1847,용량
29.868666,-29.126938,향기
-10.159288,-30.189774,용량
-13.652592,-47.47976,용량
20.233967,33.115032,색상
-29.436138,-29.4496,용량
-38.336086,-33.051224,용량
9.680948,55.40724,색상
-9.588693,18.942804,색상
-9.456981,38.17765,디자인
35.09202,27.485712,디자인
36.32052,40.283367,디자인
-34.075603,26.064945,디자인
-40.570217,14.87265,디자인
-12.622424,-4.5206375,가격
-18.34098,7.588245,가격
28.919203,-44.606785,감촉
18.303308,52.61102,디자인
28.542307,-8.55492,향기
62.647987,-0.32402852,향기
11.13639,52.649433,색상
-37.81045,4.8727984,가격
-14.469468,-57.73873,용량
48.706673,26.161575,디자인
31.606045,16.863697,향기
-16.47794,30.721102,디자인
52.31625,1.0770941,향기
41.02547,21.365667,색상
-14.010703,-28.631605,용량
-58.185883,7.2308598,가격
45.45171,13.00702,가격
-23.10401,-31.474157,색상
-29.29788,43.18192,디자인
34.94925,-22.198872,향기
-30.986326,28.209345,디자인
-13.663161,-34.511543,용량
-3.7326303,53.15899,색상
16.898,46.470184,감촉
17.553675,-40.151688,감촉
22.943947,16.221807,색상
-63.144936,-8.874333,향기
-16.676794,-57.765236,용량
1.0466075,-23.398312,가격
-66.18278,-9.771306,용량
-9.628248,-65.53694,용량
37.931454,-38.538155,향기
-5.592435,-36.336834,향기
-12.692409,-59.39296,용량
-26.992144,-1.0864028,향기
14.274489,39.86425,색상
-19.205427,-57.272865,용량
10.7150135,34.559803,색상
-10.097253,-17.539564,감촉
24.434616,32.45812,디자인
-39.065037,8.439682,가격
34.79454,21.99577,색상
-9.366032,-15.506039,감촉
26.875443,-40.80224,향기
55.38809,-12.2396965,향기
-9.048275,19.777105,색상
-10.6403,47.260483,디자인
22.522423,36.443233,디자인
-23.673204,-32.319984,용량
40.05107,5.801925,감촉
28.59822,-29.236242,향기
-34.845932,-33.15582,디자인
41.627914,35.009388,디자인
-25.4276,-32.792244,용량
42.882736,21.405104,가격
-0.56761926,32.58519,디자인
16.226538,-19.542236,감촉
24.781744,14.740908,향기
-26.276949,34.6211,디자인
-30.197111,25.001963,가격
12.795788,42.823273,색상
12.444309,27.755352,향기
-31.588802,39.224415,디자인
-38.166,-25.682981,용량
32.01017,39.52063,디자인
-31.827599,-3.4529698,가격
2.0274725,-48.634857,향기
-37.795345,28.685066,디자인
29.302301,12.645649,디자인
-19.076591,-43.661922,용량
42.985043,11.812416,가격
2.8024015,12.414829,색상
-52.247826,6.6494746,가격
-26.58319,7.9286,가격
-35.400707,30.734259,색상
14.441098,22.75376,색상
-22.634996,-44.088936,용량
-63.94345,-10.300548,감촉
46.28102,25.822868,디자인
-26.75492,-20.33788,용량
-19.741814,-13.18156,가격
40.508804,25.754448,색상
14.501366,-27.739286,감촉
-4.962345,25.379974,디자인
-16.846964,50.76133,디자인
-12.478889,-33.21764,용량
23.561935,23.924656,색상
-45.381264,2.4036036,가격
-16.411804,21.266243,디자인
-23.055586,40.192093,디자인
-0.59830034,-46.254898,용량
-21.437874,15.663607,색상
43.152885,24.939854,디자인
8.382211,48.302025,색상
-22.044535,3.6132784,가격
54.533234,7.1855836,감촉
24.79068,-19.25851,향기
54.1478,10.061843,가격
-21.872377,-46.850803,용량
45.35947,16.57307,가격
-25.665178,-43.93338,용량
31.684784,-13.818945,향기
37.83268,-3.584345,감촉
-36.00149,40.108734,디자인
3.9011075,-33.447556,감촉
36.314896,-20.446608,향기
